country_id,country_name,country_text_id,year,v2x_regime,v2x_polyarchy,v2x_polyarchy_codelow,v2x_polyarchy_codehigh,v2x_polyarchy_sd,v2x_libdem,v2x_libdem_codelow,v2x_libdem_codehigh,v2x_libdem_sd,v2x_partipdem,v2x_partipdem_codelow,v2x_partipdem_codehigh,v2x_partipdem_sd,v2x_delibdem,v2x_delibdem_codelow,v2x_delibdem_codehigh,v2x_delibdem_sd,v2x_egaldem,v2x_egaldem_codelow,v2x_egaldem_codehigh,v2x_egaldem_sd
3,Mexico,MEX,2000,2.0,0.664,0.604,0.723,0.061,0.481,0.426,0.535,0.055,0.418,0.37,0.465,0.048,0.471,0.394,0.545,0.075,0.345,0.281,0.396,0.059
3,Mexico,MEX,2001,2.0,0.677,0.622,0.74,0.06,0.489,0.434,0.543,0.055,0.423,0.375,0.47,0.048,0.537,0.465,0.599,0.067,0.346,0.294,0.407,0.057
3,Mexico,MEX,2002,2.0,0.688,0.635,0.758,0.06,0.495,0.436,0.548,0.056,0.428,0.379,0.476,0.048,0.547,0.481,0.618,0.069,0.351,0.295,0.41,0.058
3,Mexico,MEX,2003,2.0,0.699,0.645,0.762,0.058,0.502,0.449,0.558,0.055,0.436,0.386,0.483,0.048,0.557,0.487,0.623,0.068,0.362,0.308,0.421,0.056
3,Mexico,MEX,2004,2.0,0.71,0.655,0.766,0.057,0.511,0.459,0.565,0.055,0.443,0.394,0.489,0.048,0.567,0.493,0.628,0.067,0.368,0.316,0.429,0.056
3,Mexico,MEX,2005,2.0,0.71,0.655,0.766,0.057,0.511,0.459,0.565,0.055,0.443,0.394,0.489,0.048,0.576,0.513,0.642,0.066,0.368,0.316,0.429,0.056
3,Mexico,MEX,2006,2.0,0.671,0.617,0.734,0.059,0.479,0.426,0.531,0.054,0.416,0.369,0.463,0.047,0.538,0.471,0.603,0.067,0.348,0.289,0.401,0.056
3,Mexico,MEX,2007,2.0,0.637,0.574,0.7,0.063,0.452,0.393,0.502,0.055,0.395,0.346,0.439,0.047,0.526,0.455,0.582,0.065,0.325,0.269,0.377,0.054
3,Mexico,MEX,2008,2.0,0.642,0.584,0.714,0.064,0.455,0.397,0.507,0.055,0.4,0.354,0.452,0.049,0.527,0.463,0.59,0.064,0.329,0.267,0.376,0.055
3,Mexico,MEX,2009,2.0,0.648,0.593,0.713,0.061,0.46,0.401,0.511,0.056,0.403,0.359,0.453,0.047,0.533,0.474,0.599,0.064,0.328,0.265,0.37,0.053
3,Mexico,MEX,2010,2.0,0.661,0.614,0.732,0.06,0.47,0.412,0.52,0.055,0.413,0.371,0.464,0.047,0.543,0.475,0.603,0.065,0.339,0.283,0.394,0.056
3,Mexico,MEX,2011,2.0,0.66,0.601,0.72,0.06,0.469,0.412,0.522,0.055,0.411,0.368,0.464,0.048,0.542,0.472,0.602,0.065,0.342,0.286,0.399,0.057
3,Mexico,MEX,2012,2.0,0.649,0.592,0.716,0.062,0.461,0.411,0.52,0.055,0.405,0.357,0.45,0.047,0.539,0.478,0.608,0.065,0.336,0.284,0.395,0.056
