country_id,country_name,country_text_id,year,v2x_regime,v2x_polyarchy,v2x_polyarchy_codelow,v2x_polyarchy_codehigh,v2x_polyarchy_sd,v2x_libdem,v2x_libdem_codelow,v2x_libdem_codehigh,v2x_libdem_sd,v2x_partipdem,v2x_partipdem_codelow,v2x_partipdem_codehigh,v2x_partipdem_sd,v2x_delibdem,v2x_delibdem_codelow,v2x_delibdem_codehigh,v2x_delibdem_sd,v2x_egaldem,v2x_egaldem_codelow,v2x_egaldem_codehigh,v2x_egaldem_sd
3,Mexico,MEX,1789,,0.028,0.016,0.037,0.011,0.044,0.026,0.055,0.014,0.006,0.001,0.01,0.007,,,,,,,,
3,Mexico,MEX,1790,,0.028,0.016,0.037,0.011,0.044,0.026,0.055,0.014,0.006,0.001,0.01,0.007,,,,,,,,
3,Mexico,MEX,1791,,0.028,0.016,0.037,0.011,0.044,0.026,0.055,0.014,0.006,0.001,0.01,0.007,,,,,,,,
3,Mexico,MEX,1792,,0.028,0.016,0.037,0.011,0.044,0.026,0.055,0.014,0.006,0.001,0.01,0.007,,,,,,,,
3,Mexico,MEX,1793,,0.028,0.016,0.037,0.011,0.044,0.026,0.055,0.014,0.006,0.001,0.01,0.007,,,,,,,,
3,Mexico,MEX,1794,,0.028,0.016,0.037,0.011,0.044,0.026,0.055,0.014,0.006,0.001,0.01,0.007,,,,,,,,
3,Mexico,MEX,1795,,0.028,0.016,0.037,0.011,0.044,0.026,0.055,0.014,0.006,0.001,0.01,0.007,,,,,,,,
3,Mexico,MEX,1796,,0.028,0.016,0.037,0.011,0.044,0.026,0.055,0.014,0.006,0.001,0.01,0.007,,,,,,,,
3,Mexico,MEX,1797,,0.028,0.016,0.037,0.011,0.044,0.026,0.055,0.014,0.006,0.001,0.01,0.007,,,,,,,,
3,Mexico,MEX,1798,,0.028,0.016,0.037,0.011,0.044,0.026,0.055,0.014,0.006,0.001,0.01,0.007,,,,,,,,
3,Mexico,MEX,1799,,0.028,0.016,0.037,0.011,0.044,0.026,0.055,0.014,0.006,0.001,0.01,0.007,,,,,,,,
3,Mexico,MEX,1800,,0.028,0.016,0.037,0.011,0.044,0.026,0.055,0.014,0.006,0.001,0.01,0.007,,,,,,,,
3,Mexico,MEX,1801,,0.028,0.016,0.037,0.011,0.044,0.026,0.055,0.014,0.006,0.001,0.01,0.007,,,,,,,,
3,Mexico,MEX,1802,,0.028,0.016,0.037,0.011,0.044,0.026,0.055,0.014,0.006,0.001,0.01,0.007,,,,,,,,
3,Mexico,MEX,1803,,0.028,0.016,0.037,0.011,0.044,0.026,0.055,0.014,0.006,0.001,0.01,0.007,,,,,,,,
3,Mexico,MEX,1804,,0.028,0.016,0.037,0.011,0.044,0.026,0.055,0.014,0.006,0.001,0.01,0.007,,,,,,,,
3,Mexico,MEX,1805,,0.028,0.016,0.037,0.011,0.044,0.026,0.055,0.014,0.006,0.001,0.01,0.007,,,,,,,,
3,Mexico,MEX,1806,,0.028,0.016,0.037,0.011,0.044,0.026,0.055,0.014,0.006,0.001,0.01,0.007,,,,,,,,
3,Mexico,MEX,1807,,0.028,0.016,0.037,0.011,0.044,0.026,0.055,0.014,0.006,0.001,0.01,0.007,,,,,,,,
3,Mexico,MEX,1808,,0.028,0.016,0.037,0.011,0.044,0.026,0.055,0.014,0.006,0.001,0.01,0.007,,,,,,,,
3,Mexico,MEX,1809,,0.028,0.016,0.037,0.011,0.048,0.032,0.06,0.014,0.006,0.001,0.01,0.007,,,,,,,,
3,Mexico,MEX,1810,,0.031,0.02,0.042,0.011,0.047,0.03,0.058,0.014,0.006,0.001,0.01,0.007,,,,,,,,
3,Mexico,MEX,1811,,0.031,0.02,0.042,0.011,0.047,0.03,0.058,0.014,0.006,0.001,0.01,0.007,,,,,,,,
3,Mexico,MEX,1812,,0.053,0.038,0.069,0.016,0.051,0.034,0.065,0.015,0.008,0.002,0.012,0.007,,,,,,,,
3,Mexico,MEX,1813,,0.053,0.038,0.069,0.016,0.051,0.033,0.064,0.015,0.008,0.002,0.012,0.007,,,,,,,,
3,Mexico,MEX,1814,,0.053,0.038,0.069,0.016,0.051,0.033,0.064,0.015,0.008,0.002,0.012,0.007,,,,,,,,
3,Mexico,MEX,1815,,0.053,0.038,0.069,0.016,0.051,0.033,0.064,0.015,0.008,0.002,0.012,0.007,,,,,,,,
3,Mexico,MEX,1816,,0.041,0.028,0.054,0.013,0.049,0.034,0.063,0.015,0.007,0.002,0.011,0.007,,,,,,,,
3,Mexico,MEX,1817,,0.041,0.028,0.054,0.013,0.049,0.034,0.063,0.015,0.007,0.002,0.011,0.007,,,,,,,,
3,Mexico,MEX,1818,,0.041,0.028,0.054,0.013,0.049,0.034,0.063,0.015,0.007,0.002,0.011,0.007,,,,,,,,
3,Mexico,MEX,1819,,0.041,0.028,0.054,0.013,0.049,0.034,0.063,0.015,0.007,0.002,0.011,0.007,,,,,,,,
3,Mexico,MEX,1820,,0.068,0.051,0.087,0.018,0.032,0.022,0.041,0.01,0.009,0.003,0.013,0.007,,,,,,,,
3,Mexico,MEX,1821,,0.118,0.097,0.139,0.021,0.037,0.026,0.046,0.01,0.038,0.02,0.051,0.016,,,,,,,,
3,Mexico,MEX,1822,,0.119,0.098,0.139,0.021,0.105,0.082,0.122,0.02,0.066,0.049,0.084,0.018,,,,,,,,
3,Mexico,MEX,1823,,0.181,0.16,0.201,0.021,0.119,0.094,0.137,0.022,0.078,0.06,0.097,0.019,,,,,,,,
3,Mexico,MEX,1824,,0.182,0.161,0.202,0.021,0.132,0.108,0.151,0.022,0.091,0.071,0.107,0.019,,,,,,,,
3,Mexico,MEX,1825,,0.182,0.161,0.202,0.021,0.136,0.114,0.159,0.022,0.131,0.113,0.148,0.019,,,,,,,,
3,Mexico,MEX,1826,,0.182,0.161,0.202,0.021,0.136,0.114,0.159,0.022,0.131,0.113,0.148,0.019,,,,,,,,
3,Mexico,MEX,1827,,0.182,0.161,0.202,0.021,0.136,0.114,0.159,0.022,0.131,0.113,0.148,0.019,,,,,,,,
3,Mexico,MEX,1828,,0.182,0.161,0.202,0.021,0.136,0.114,0.159,0.022,0.131,0.113,0.148,0.019,,,,,,,,
3,Mexico,MEX,1829,,0.182,0.161,0.202,0.021,0.136,0.114,0.159,0.022,0.131,0.113,0.148,0.019,,,,,,,,
3,Mexico,MEX,1830,,0.182,0.161,0.202,0.021,0.13,0.11,0.154,0.022,0.131,0.113,0.148,0.019,,,,,,,,
3,Mexico,MEX,1831,,0.151,0.13,0.171,0.021,0.122,0.102,0.144,0.021,0.123,0.106,0.14,0.018,,,,,,,,
3,Mexico,MEX,1832,,0.163,0.142,0.183,0.021,0.125,0.105,0.148,0.021,0.126,0.109,0.143,0.018,,,,,,,,
3,Mexico,MEX,1833,,0.182,0.161,0.202,0.021,0.13,0.11,0.154,0.022,0.131,0.113,0.148,0.019,,,,,,,,
3,Mexico,MEX,1834,,0.182,0.161,0.202,0.021,0.13,0.11,0.154,0.022,0.131,0.113,0.148,0.019,,,,,,,,
3,Mexico,MEX,1835,,0.182,0.161,0.202,0.021,0.13,0.11,0.154,0.022,0.131,0.113,0.148,0.019,,,,,,,,
3,Mexico,MEX,1836,,0.182,0.161,0.202,0.021,0.138,0.117,0.157,0.021,0.082,0.055,0.104,0.025,,,,,,,,
3,Mexico,MEX,1837,,0.163,0.142,0.183,0.021,0.133,0.111,0.15,0.02,0.078,0.051,0.099,0.024,,,,,,,,
3,Mexico,MEX,1838,,0.163,0.142,0.183,0.021,0.133,0.111,0.15,0.02,0.078,0.051,0.099,0.024,,,,,,,,
3,Mexico,MEX,1839,,0.163,0.142,0.183,0.021,0.133,0.111,0.15,0.02,0.078,0.051,0.099,0.024,,,,,,,,
3,Mexico,MEX,1840,,0.163,0.142,0.183,0.021,0.145,0.126,0.167,0.021,0.078,0.051,0.099,0.024,,,,,,,,
3,Mexico,MEX,1841,,0.156,0.135,0.176,0.021,0.118,0.097,0.138,0.021,0.076,0.051,0.098,0.024,,,,,,,,
3,Mexico,MEX,1842,,0.187,0.16,0.209,0.025,0.126,0.102,0.146,0.023,0.083,0.057,0.106,0.025,,,,,,,,
3,Mexico,MEX,1843,,0.229,0.198,0.256,0.029,0.156,0.135,0.186,0.025,0.093,0.064,0.116,0.027,,,,,,,,
3,Mexico,MEX,1844,,0.229,0.198,0.256,0.029,0.156,0.135,0.186,0.025,0.093,0.064,0.116,0.027,,,,,,,,
3,Mexico,MEX,1845,,0.229,0.198,0.256,0.029,0.156,0.135,0.186,0.025,0.093,0.064,0.116,0.027,,,,,,,,
3,Mexico,MEX,1846,,0.19,0.162,0.212,0.025,0.126,0.1,0.144,0.022,0.084,0.056,0.106,0.025,,,,,,,,
3,Mexico,MEX,1847,,0.215,0.184,0.24,0.028,0.133,0.108,0.154,0.023,0.133,0.113,0.154,0.021,,,,,,,,
3,Mexico,MEX,1848,,0.229,0.198,0.256,0.029,0.137,0.113,0.16,0.024,0.137,0.118,0.159,0.022,,,,,,,,
3,Mexico,MEX,1849,,0.229,0.198,0.256,0.029,0.137,0.113,0.16,0.024,0.137,0.118,0.159,0.022,,,,,,,,
3,Mexico,MEX,1850,,0.198,0.168,0.222,0.027,0.12,0.1,0.14,0.021,0.128,0.105,0.146,0.021,,,,,,,,
3,Mexico,MEX,1851,,0.198,0.168,0.222,0.027,0.12,0.1,0.14,0.021,0.128,0.105,0.146,0.021,,,,,,,,
3,Mexico,MEX,1852,,0.198,0.168,0.222,0.027,0.12,0.1,0.14,0.021,0.128,0.105,0.146,0.021,,,,,,,,
3,Mexico,MEX,1853,,0.198,0.168,0.222,0.027,0.12,0.1,0.14,0.021,0.128,0.105,0.146,0.021,,,,,,,,
3,Mexico,MEX,1854,,0.236,0.207,0.265,0.029,0.14,0.116,0.163,0.024,0.139,0.119,0.16,0.022,,,,,,,,
